#8185c84fc1a4a83e62779562a5d929938b962f98ab33d424a022e2639e8791fd246b94761deda350a20d6f52f56c52eb6ba2bb11884d30c44f7f8d8a7d27d5b42b9b48af60f7365bf94a
blockZE, 0, , 1, 660, 418, 300, 164
blockZF, 0, , 1, 2, 492, 300, 156
blockZG, 0, , 1, 306, 300, 260, 185
blockZH, 0, , 1, 306, 489, 250, 163
blockZI, 0, , 1, 964, 306, 99, 250
blockZJ, 0, , 1, 1099, 2, 100, 129
blockZK, 0, , 1, 660, 586, 360, 57
blockZL, 0, , 1, 1099, 135, 200, 49
blockZM, 0, , 1, 1203, 189, 46, 200
blockZN, 0, , 1, 964, 2, 131, 300
blockZO, 0, , 1, 1067, 306, 102, 200
blockZP, 0, , 1, 1067, 510, 150, 125
blockZQ, 0, , 1, 1099, 188, 100, 105
blockZR, 0, , 1, 406, 2, 250, 293
darkwood, 0, , 1, 2, 2, 400, 282
jungleA, 0, , 1, 660, 2, 300, 204
jungleB, 0, , 1, 660, 210, 300, 204
jungleC, 0, , 1, 2, 288, 300, 200
