"===="
"--","global"
"doorEntryID","0"
"doorShouldFindStart","true"
"lastEntryDoor","1"
"lastAccess","1497027665926"
"doorShouldUse","false"
"lastLevelID","23-02"
"-|-"
"==|=="
"===="
"--","24-b"
"WOODEN_CAGE1","true"
"levelFinished","true"
"levelCleared","true"
"levelVisited","true"
"-|-"
"--","21-08"
"levelFinished","true"
"levelCleared","true"
"levelVisited","true"
"-|-"
"--","23-b"
"WOODEN_CAGE1","true"
"levelFinished","true"
"levelCleared","true"
"levelVisited","true"
"-|-"
"--","22-b"
"WOODEN_CAGE1","true"
"levelFinished","true"
"levelCleared","true"
"levelVisited","true"
"-|-"
"--","21-07"
"WOODEN_CAGE1","true"
"levelFinished","true"
"levelCleared","true"
"clearedCageCountPerLevel","1"
"levelVisited","true"
"-|-"
"--","21-b"
"WOODEN_CAGE1","true"
"levelFinished","true"
"levelCleared","true"
"levelVisited","true"
"-|-"
"--","21-06"
"WOODEN_CAGE1","true"
"levelFinished","true"
"levelCleared","true"
"WOODEN_CAGE0","true"
"clearedCageCountPerLevel","2"
"levelVisited","true"
"-|-"
"--","21-05"
"WOODEN_CAGE1","true"
"levelFinished","true"
"levelCleared","true"
"WOODEN_CAGE0","true"
"clearedCageCountPerLevel","2"
"levelVisited","true"
"-|-"
"--","21-04"
"levelFinished","true"
"levelCleared","true"
"WOODEN_CAGE0","true"
"clearedCageCountPerLevel","1"
"levelVisited","true"
"-|-"
"--","21-03"
"WOODEN_CAGE1","true"
"levelFinished","true"
"levelCleared","true"
"clearedCageCountPerLevel","1"
"levelVisited","true"
"-|-"
"--","21-02"
"levelVisited","true"
"-|-"
"--","23-04"
"WOODEN_CAGE1","true"
"WOODEN_CAGE2","true"
"levelFinished","true"
"levelCleared","true"
"clearedCageCountPerLevel","2"
"levelVisited","true"
"-|-"
"--","23-05"
"WOODEN_CAGE1","true"
"WOODEN_CAGE2","true"
"levelFinished","true"
"levelCleared","true"
"clearedCageCountPerLevel","2"
"levelVisited","true"
"-|-"
"--","23-06"
"WOODEN_CAGE1","true"
"WOODEN_CAGE2","true"
"WOODEN_CAGE3","true"
"levelFinished","true"
"levelCleared","true"
"clearedCageCountPerLevel","3"
"levelVisited","true"
"-|-"
"--","23-07"
"WOODEN_CAGE1","true"
"WOODEN_CAGE2","true"
"levelFinished","true"
"levelCleared","true"
"clearedCageCountPerLevel","2"
"levelVisited","true"
"-|-"
"--","23-08"
"WOODEN_CAGE1","true"
"levelFinished","true"
"levelCleared","true"
"clearedCageCountPerLevel","1"
"levelVisited","true"
"-|-"
"--","23-09"
"levelFinished","true"
"levelCleared","true"
"levelVisited","true"
"-|-"
"--","24-10"
"levelFinished","true"
"levelCleared","true"
"levelVisited","true"
"-|-"
"--","25-01"
"WOODEN_CAGE1","true"
"levelFinished","true"
"levelCleared","true"
"clearedCageCountPerLevel","1"
"levelVisited","true"
"-|-"
"--","23-01"
"levelFinished","true"
"levelCleared","true"
"levelVisited","true"
"-|-"
"--","23-02"
"WOODEN_CAGE1","true"
"WOODEN_CAGE4","true"
"levelFinished","true"
"clearedCageCountPerLevel","2"
"levelCleared","true"
"levelVisited","true"
"-|-"
"--","23-03"
"WOODEN_CAGE2","true"
"clearedCageCountPerLevel","1"
"levelVisited","true"
"-|-"
"--","21-01"
"levelFinished","true"
"levelCleared","true"
"levelVisited","true"
"-|-"
"--","20-05"
"levelFinished","true"
"levelCleared","true"
"levelVisited","true"
"-|-"
"--","test"
"levelVisited","true"
"-|-"
"--","20-04"
"WOODEN_CAGE1","true"
"levelFinished","true"
"levelCleared","true"
"WOODEN_CAGE0","true"
"clearedCageCountPerLevel","2"
"levelVisited","true"
"-|-"
"--","20-03"
"levelVisited","true"
"-|-"
"--","20-02"
"levelFinished","true"
"WOODEN_CAGE0","true"
"clearedCageCountPerLevel","1"
"levelCleared","true"
"levelVisited","true"
