#818526668bb8b94c35dc10a39d261e43be84ec46c16ee9f1079060ff88b4f165cfd3bec922d3d3c9d3ea32aff34393c17ea232e77e9c605794931fe90bed5dbb4616983caf3039915db55d38e797a9fcf2becd027656c0e1bbe67bde1cfdceefe213b9f0abe55079da83c96755bc0fc844
blockedabove, 0, , 1, 286, 870, 79, 22
camerablock, 0, , 1, 369, 919, 34, 34
camerablock, 1, , 1, 369, 957, 34, 34
camerablock, 2, , 1, 354, 415, 34, 34
cannon, 0, , 1, 262, 320, 63, 111
cannon, 1, , 1, 262, 435, 63, 111
cloudplatform, 0, , 1, 286, 787, 140, 38
door, 0, , 1, 159, 586, 150, 197
grid, 0, , 1, 159, 787, 123, 123
hole, 0, , 1, 262, 106, 100, 92
ladder, 0, , 1, 262, 202, 70, 114
leftplatform, 0, , 1, 354, 453, 30, 37
lever, 0, , 1, 2, 939, 100, 76
lever, 1, , 1, 263, 914, 100, 76
light, 0, , 1, 354, 202, 67, 67
light, 1, , 1, 354, 273, 67, 67
light, 2, , 1, 354, 494, 30, 30
marker, 0, , 1, 2, 835, 100, 100
marker, 1, , 1, 159, 914, 100, 100
platform, 0, , 1, 286, 829, 142, 37
platform, 1, , 1, 313, 550, 37, 201
rightplatform, 0, , 1, 354, 528, 30, 37
soundsource, 0, , 1, 354, 344, 67, 67
spawnpoint, 0, , 1, 369, 870, 45, 45
spikes, 0, , 1, 2, 586, 153, 245
text, 0, , 1, 262, 2, 100, 100
worlddoor, 0, , 1, 2, 2, 256, 288
worlddoor, 1, , 1, 2, 294, 256, 288
