#8185147033a9c14a92463725647cc715d5759f32624de69456394d883f66fb89ea2a1aa635277a9a5a477ac09775c11a42534b3e0c1119b9c609cf18235fae61129be4496fab289026f4913a3c3c32eb48767e414cea1fcf1cfdd6fcd4f367fcab752d90af23b9eea41feea0f0cd59398aa26174f4d288aace14a4aadace3158e2118f9341836c96a19f766fe3c79aa9eabb8ae36676e449c0cd674bc87336fc4188a4b331138fd923b0b5ed9c62154b247b1fd211ff43faa0de77a7d9c18f4611a89fe0f51f115f1359a4af34497de23368385911f95a73663956becc111a22a86ce10470fb9466282a62634f506aea648c7079101eeebf9f4f707bd6fe2532c935e427ef88ac85dae511ff4708a64d68e93597235b59dd9c1f552ef8577221ebcf6effe732c062fece38654f996056c502dce2fbbb7100e7f27dc9e641d7b56f86b99d9e075a0959324c1a7ebf472a22211671507a
aquarelle, 0, , 1, 70, 1001, 60, 39
brush, 0, , 1, 226, 981, 81, 47
brush, 1, , 1, 269, 690, 80, 35
brush, 2, , 1, 360, 247, 90, 49
brush, 3, , 1, 311, 981, 96, 42
brush, 4, , 1, 142, 756, 195, 53
bubble, 0, , 1, 212, 1209, 16, 16
crackle, 0, , 1, 353, 606, 100, 55
doorsparkle, 0, , 1, 2, 2, 219, 317
doorspiral, 0, , 1, 2, 323, 250, 239
dust, 0, , 1, 225, 2, 93, 113
dust, 1, , 1, 225, 119, 110, 102
dust, 2, , 1, 269, 526, 89, 76
dust, 3, , 1, 86, 749, 46, 59
dust, 4, , 1, 447, 1190, 20, 24
dust, 5, , 1, 232, 1209, 21, 10
dust, 6, , 1, 2, 1129, 39, 47
dust, 7, , 1, 257, 1191, 28, 34
dust, 8, , 1, 2, 566, 136, 179
dust, 9, , 1, 142, 566, 123, 186
leaf, 0, , 1, 86, 812, 50, 62
leaf, 1, , 1, 86, 878, 50, 58
leaf, 2, , 1, 394, 880, 63, 65
leaf, 3, , 1, 257, 1142, 35, 45
leaf, 4, , 1, 439, 425, 28, 62
leaf, 5, , 1, 360, 300, 63, 72
leaf, 6, , 1, 256, 427, 85, 94
leaf, 7, , 1, 256, 225, 94, 99
leaf, 8, , 1, 406, 2, 55, 71
light, 0, , 1, 2, 1216, 16, 16
minibubble, 0, , 1, 22, 1216, 8, 8
noise, 0, , 1, 362, 508, 80, 71
rain, 0, , 1, 411, 949, 42, 42
rain, 1, , 1, 199, 1163, 42, 42
rain, 2, , 1, 140, 1165, 42, 42
rain, 3, , 1, 311, 1168, 42, 42
rain, 4, , 1, 45, 1190, 42, 42
ray, 0, , 1, 91, 1190, 40, 40
reflect, 0, , 1, 311, 1068, 126, 23
reflect, 1, , 1, 2, 1069, 111, 26
reflect, 2, , 1, 142, 1079, 111, 26
reflect, 3, , 1, 311, 1095, 111, 26
reflect, 4, , 1, 2, 1099, 111, 26
screw, 0, , 1, 142, 981, 64, 64
screw, 1, , 1, 2, 1001, 64, 64
shared, 0, , 1, 269, 606, 80, 80
shared, 1, , 1, 2, 749, 80, 80
shared, 2, , 1, 142, 813, 80, 80
shared, 3, , 1, 226, 813, 80, 80
shared, 4, , 1, 2, 833, 80, 80
shared, 5, , 1, 142, 897, 80, 80
shared, 6, , 1, 375, 1190, 32, 32
shared, 7, , 1, 411, 1190, 32, 32
smoke, 0, , 1, 142, 1109, 53, 52
smoke, 1, , 1, 257, 1079, 44, 59
smoke, 2, , 1, 427, 300, 34, 59
smoke, 3, , 1, 423, 77, 37, 63
snow, 0, , 1, 86, 940, 40, 56
snow, 1, , 1, 226, 897, 80, 80
snow, 2, , 1, 2, 917, 80, 80
snow, 3, , 1, 310, 813, 80, 80
snow, 4, , 1, 310, 897, 80, 80
snow, 5, , 1, 322, 2, 80, 80
snow, 6, , 1, 339, 87, 80, 80
soft, 0, , 1, 311, 1125, 60, 39
soft, 1, , 1, 427, 1031, 30, 24
soft, 2, , 1, 345, 427, 90, 76
soft, 3, , 1, 394, 803, 60, 73
splash, 0, , 2, 45, 1129, 32, 32
spots, 0, , 1, 256, 328, 100, 95
star, 0, , 1, 2, 1180, 32, 32
star, 0, m, 1, 427, 995, 32, 32
steam, 0, , 1, 199, 1109, 49, 50
steam, 1, , 1, 353, 690, 62, 109
steam, 2, , 1, 419, 666, 41, 102
stick, 0, , 1, 232, 1223, 8, 8
thick_noise, 0, , 1, 360, 172, 80, 71
waterp, 0, , 1, 311, 1027, 112, 37
waterp, 1, , 1, 140, 1211, 68, 17
waterp, 2, , 1, 70, 1044, 66, 15
waterp, 3, , 1, 142, 1049, 143, 26
waterp, 4, , 1, 375, 1157, 69, 29
waterp, 5, , 1, 375, 1125, 81, 28
waterp, 6, , 1, 45, 1165, 91, 21
waterp, 7, , 1, 360, 376, 97, 45
