#81852ee061d7f7ab566620a84f406e6205a1f02857302d66da07fa9d86fca4c47611cea68bac3177be7edd1b1dbe27ac31be21cdae9ed68df8ae2a4e01f165e255fc9716db0810721b2e3003cf83c9fae327d14ffae48174db6e816cbc9fd604755abd995fa5827d7ac5c88fcb2dbfcc5de34f9e8f2bcd1d88db7a28a8a6d4de4b54e50009d4de6c944cfdf947db76e23af83704e
brokenceilingB, 0, , 1, 1442, 648, 300, 193
ceilingbeam, 0, , 1, 1598, 845, 100, 123
coal, 0, , 1, 1444, 574, 174, 55
coalcar, 0, , 1, 2, 625, 407, 299
fallen, 0, , 1, 1828, 805, 100, 91
fallenceilingA, 0, , 1, 1271, 2, 446, 192
hanging, 0, , 1, 1840, 504, 100, 29
hangingpipesA, 0, , 1, 1822, 131, 70, 41
lightA, 0, , 1, 1702, 902, 200, 65
lightA, 0, m, 1, 1702, 971, 200, 65
lightB, 0, , 1, 1822, 2, 100, 125
lightC, 0, , 1, 1271, 198, 169, 446
lightD, 0, , 1, 1698, 393, 138, 179
pipeB, 0, , 1, 1721, 2, 97, 180
pipeC, 0, , 1, 699, 2, 568, 706
pipeD, 0, , 1, 1746, 576, 78, 321
pipeE, 0, , 1, 1099, 985, 500, 58
pipeK, 0, , 1, 2, 928, 609, 56
pipeL, 0, , 1, 1906, 900, 50, 140
pipeM, 0, , 1, 1822, 176, 67, 17
pipesA, 0, , 1, 1099, 712, 339, 268
pipesB, 0, , 1, 2, 2, 693, 619
pipesC, 0, , 1, 699, 712, 396, 307
ropeA, 0, , 1, 1444, 198, 250, 268
ropeB, 0, , 1, 413, 625, 150, 212
ropeC, 0, , 1, 1442, 845, 152, 129
ropeD, 0, , 1, 1828, 576, 75, 225
ropeE, 0, , 1, 567, 625, 125, 189
ropeF, 0, , 1, 1926, 2, 30, 292
ropeG, 0, , 1, 1444, 470, 174, 100
ropeH, 0, , 1, 1698, 198, 150, 191
rubble, 0, , 1, 1702, 845, 35, 31
rubbleA, 0, , 1, 1622, 517, 27, 11
rubbleB, 0, , 1, 1840, 537, 88, 35
rubbleC, 0, , 1, 1622, 470, 67, 17
rubbleD, 0, , 1, 1622, 491, 35, 22
spider, 0, , 1, 1840, 393, 100, 107
